0.5945,0.7285,0.7324,0.8027,0.8196,0.8035,0.8045,0.8523,0.8325,0.8601,0.8583,0.8532,0.8299,0.8412,0.8462,0.8766,0.8532,0.8273,0.8295,0.8527,0.8309,0.8412,0.7417,0.8004,0.774,0.6181
0.7425,0.7828,0.81,0.8258,0.8316,0.824,0.8341,0.8385,0.8739,0.8647,0.8922,0.9058,0.8915,0.8657,0.8884,0.9016,0.8616,0.8504,0.8636,0.8452,0.8573,0.8349,0.8304,0.7467,0.823,0.643
0.7333,0.7948,0.8161,0.8395,0.8047,0.8616,0.8462,0.8644,0.8828,0.873,0.8689,0.8667,0.8851,0.8875,0.8765,0.8974,0.875,0.8683,0.871,0.8452,0.8777,0.8616,0.8715,0.8609,0.8163,0.6601
0.7728,0.8296,0.8425,0.8468,0.8423,0.855,0.8498,0.8758,0.837,0.8964,0.8746,0.8664,0.9057,0.868,0.8799,0.8737,0.8677,0.8807,0.8666,0.8663,0.8791,0.8556,0.8034,0.8394,0.8158,0.7608
0.7104,0.7792,0.8406,0.844,0.8612,0.8429,0.9058,0.828,0.9141,0.856,0.8777,0.8935,0.9009,0.865,0.8863,0.8959,0.8838,0.8908,0.8486,0.8888,0.865,0.8507,0.851,0.7952,0.8583,0.8302
0.7908,0.8541,0.8481,0.8616,0.8499,0.8909,0.8619,0.8462,0.8908,0.8671,0.8699,0.8804,0.8781,0.8994,0.8723,0.884,0.9008,0.9058,0.897,0.8694,0.8368,0.8761,0.8403,0.8777,0.8687,0.767
0.7673,0.8215,0.8481,0.877,0.8525,0.899,0.8696,0.8955,0.8934,0.902,0.8816,0.8944,0.8873,0.8897,0.8815,0.8992,0.8982,0.8605,0.8519,0.8783,0.8562,0.8396,0.7555,0.8336,0.8122,0.7789
0.7926,0.8232,0.8147,0.8447,0.8777,0.8498,0.8961,0.8703,0.9008,0.9092,0.8666,0.8779,0.8778,0.8917,0.8883,0.8687,0.898,0.8996,0.8971,0.912,0.8828,0.8481,0.8898,0.8804,0.8305,0.8413
0.7676,0.8181,0.8486,0.8525,0.8734,0.8495,0.8794,0.8716,0.8501,0.8746,0.8531,0.9136,0.894,0.8812,0.8697,0.8823,0.8666,0.8781,0.784,0.8562,0.8646,0.8577,0.8777,0.8848,0.8195,0.8316
0.7844,0.8187,0.8912,0.8557,0.8785,0.8806,0.8853,0.8749,0.8687,0.87,0.8909,0.8951,0.8595,0.8684,0.8974,0.8368,0.8933,0.8923,0.8851,0.8763,0.8955,0.8483,0.8739,0.8463,0.8628,0.7686
0.8277,0.8282,0.8911,0.8879,0.8299,0.9057,0.8752,0.8907,0.8899,0.8584,0.8863,0.8871,0.9001,0.9035,0.88,0.9016,0.8723,0.8816,0.8728,0.8716,0.8685,0.8771,0.8624,0.858,0.8922,0.8104
0.7546,0.8774,0.8755,0.8295,0.9002,0.8901,0.8633,0.9158,0.8767,0.8947,0.8689,0.8723,0.8643,0.8744,0.8848,0.8956,0.8816,0.8875,0.8899,0.8883,0.8671,0.8856,0.8637,0.8686,0.8629,0.7331
0.8189,0.8214,0.8418,0.8756,0.8573,0.8758,0.8453,0.8651,0.8835,0.838,0.8092,0.8875,0.8863,0.9124,0.9004,0.9103,0.8899,0.8755,0.891,0.8725,0.8887,0.8468,0.8795,0.8559,0.8167,0.7935
0.8151,0.8555,0.8357,0.8816,0.8467,0.8981,0.8524,0.8904,0.8785,0.8682,0.8815,0.8863,0.8887,0.9006,0.8618,0.8743,0.896,0.897,0.8716,0.8874,0.8974,0.85,0.8834,0.8647,0.8653,0.7197
0.8309,0.8598,0.8526,0.8684,0.8125,0.8895,0.8906,0.8843,0.8965,0.9019,0.8799,0.885,0.8522,0.8911,0.8755,0.8849,0.9108,0.8786,0.887,0.8939,0.8903,0.8682,0.8666,0.8157,0.828,0.7247
0.8,0.8333,0.8546,0.828,0.8713,0.8381,0.8455,0.8605,0.8745,0.8939,0.8796,0.8433,0.8908,0.8907,0.8968,0.8799,0.8866,0.8964,0.8385,0.8817,0.8529,0.8796,0.8599,0.828,0.817,0.7529
0.7107,0.7961,0.8035,0.835,0.8402,0.8335,0.8671,0.8477,0.8679,0.8752,0.8734,0.8727,0.8856,0.8935,0.7798,0.8653,0.8809,0.8821,0.8895,0.8448,0.8724,0.845,0.8295,0.7797,0.8155,0.7008
0.7295,0.7648,0.7645,0.8356,0.8685,0.8442,0.8872,0.8837,0.8447,0.852,0.8844,0.8629,0.8915,0.8877,0.8965,0.8477,0.8777,0.8611,0.8899,0.8406,0.8601,0.8429,0.8255,0.7956,0.79,0.5886
0.5884,0.724,0.7565,0.8171,0.8574,0.8362,0.7586,0.8568,0.9021,0.7858,0.6993,0.5935,0.4463,0.4053,0.3334,0.3228,0.3967,0.4949,0.4818,0.6579,0.6521,0.6973,0.7365,0.6481,0.505,0.262
