x,y,diameter
1489.24,1550.92,32.35
1655.5,1554.83,32.47
1823.5,1557.0,32.76
1993.1,1556.71,68.45
2163.17,1558.17,33.55
2332.78,1559.67,32.76
2500.83,1560.83,32.75
2668.42,1562.0,32.41
2832.37,1563.25,32.33
2992.89,1564.14,31.96
3150.93,1565.05,32.17
3307.0,1566.0,31.62
3458.5,1567.33,31.48
3608.52,1567.7,31.42
3758.0,1569.0,31.05
3907.86,1570.26,31.05
4060.32,1571.14,32.34
115.91,1695.73,30.09
263.68,1694.71,29.68
410.0,1697.78,30.15
556.5,1700.5,30.36
705.1,1703.5,31.28
854.82,1709.0,31.14
1009.0,1712.0,31.62
1166.62,1713.26,31.64
1326.47,1716.27,32.22
1489.44,1721.07,32.16
1655.09,1723.1,32.2
1822.73,1723.46,32.69
1991.43,1725.57,32.83
2163.25,1729.22,32.93
2332.44,1729.96,32.71
2500.75,1731.53,32.37
2666.37,1732.14,32.39
2831.87,1732.5,32.09
2992.93,1731.64,31.7
3150.68,1731.54,31.78
3305.39,1732.32,31.48
3459.17,1731.14,31.24
3608.15,1731.38,31.28
3756.2,1730.16,30.84
3907.07,1730.73,31.06
4059.92,1730.83,31.34
116.85,1850.52,30.61
267.46,1854.19,29.75
411.74,1855.44,30.07
557.9,1861.12,30.32
706.0,1867.0,31.05
855.68,1870.51,31.17
1011.0,1873.58,31.42
1167.13,1878.22,31.81
1327.86,1884.63,31.83
1489.63,1888.2,32.23
1657.63,1890.84,32.3
1823.76,1892.3,32.38
1991.5,1894.36,32.86
2161.08,1896.82,32.59
2330.84,1897.78,32.79
2498.65,1899.58,32.65
2663.55,1899.28,32.22
2828.74,1897.42,32.29
2990.5,1896.5,31.91
3147.86,1896.5,31.52
3302.0,1894.5,31.26
3456.73,1893.59,31.02
3606.24,1891.53,31.26
3753.79,1889.54,31.11
3905.29,1888.66,31.38
4058.82,1888.54,32.18
118.4,2007.4,30.11
269.35,2010.01,30.14
413.47,2013.34,30.69
559.27,2018.97,30.29
709.6,2026.74,30.89
859.19,2032.22,31.09
1013.41,2036.41,31.66
1168.71,2042.2,31.63
1329.0,2049.0,31.62
1490.5,2053.5,33.02
1658.15,2056.19,32.08
1822.91,2059.17,32.27
1989.61,2061.9,32.31
2160.66,2063.34,32.5
2327.5,2064.0,32.45
2495.36,2065.64,32.28
2660.32,2065.33,32.03
2825.47,2062.71,32.19
2985.18,2060.24,31.82
3144.05,2059.18,31.38
3298.0,2057.0,31.62
3453.03,2054.45,31.16
3602.35,2052.13,30.99
3751.81,2049.05,31.05
3903.29,2048.65,31.4
4056.88,2048.44,32.08
119.91,2161.8,30.17
270.61,2166.36,29.75
416.91,2169.52,29.62
562.01,2176.77,30.15
711.8,2184.64,30.81
861.71,2191.15,31.31
1016.92,2197.17,31.34
1171.13,2203.22,31.81
1330.83,2211.42,31.69
1492.5,2216.5,31.91
1659.11,2219.58,32.2
1823.4,2223.0,32.38
2980.13,2222.34,31.8
3137.94,2220.95,31.24
3293.19,2216.78,31.09
3446.5,2214.0,30.87
3597.6,2210.33,30.63
3748.76,2206.89,30.48
3899.96,2206.07,31.17
4056.15,2205.44,32.11
1990.0,2225.58,32.41
2158.93,2228.02,32.4
2324.9,2228.79,32.29
2492.0,2229.71,32.1
2656.17,2228.24,31.98
2820.71,2225.2,31.72
121.88,2317.05,30.19
272.78,2321.71,29.53
419.71,2325.14,29.56
566.0,2331.91,29.9
716.22,2341.22,30.62
865.59,2349.75,30.49
1020.0,2355.5,30.68
1174.87,2361.51,31.27
1334.89,2370.47,31.55
